id_siswa,nama,nrp,id_mapel,score
1037,Madison Webb,02900000000001,1,7.0
1037,Madison Webb,02900000000001,2,3.0
1037,Madison Webb,02900000000001,3,4.0
1037,Madison Webb,02900000000001,4,10.0
1037,Madison Webb,02900000000001,5,5.0
1037,Madison Webb,02900000000001,6,6.0
1037,Madison Webb,02900000000001,7,7.0
1038,Jill Myers,02900000000002,1,8.0
1038,Jill Myers,02900000000002,2,7.0
1038,Jill Myers,02900000000002,3,7.0
1038,Jill Myers,02900000000002,4,4.0
1038,Jill Myers,02900000000002,5,3.0
1038,Jill Myers,02900000000002,6,4.0
1038,Jill Myers,02900000000002,7,5.0
1039,Jeremy Morgan,02900000000003,1,6.0
1039,Jeremy Morgan,02900000000003,2,5.0
1039,Jeremy Morgan,02900000000003,3,8.0
1039,Jeremy Morgan,02900000000003,4,6.0
1039,Jeremy Morgan,02900000000003,5,2.0
1039,Jeremy Morgan,02900000000003,6,6.0
1039,Jeremy Morgan,02900000000003,7,2.0
1040,Rebekah Schneider,02900000000004,1,3.0
1040,Rebekah Schneider,02900000000004,2,5.0
1040,Rebekah Schneider,02900000000004,3,9.0
1040,Rebekah Schneider,02900000000004,4,8.0
1040,Rebekah Schneider,02900000000004,5,8.0
1040,Rebekah Schneider,02900000000004,6,5.0
1040,Rebekah Schneider,02900000000004,7,4.0
1041,Caroline Mata,02900000000005,1,8.0
1041,Caroline Mata,02900000000005,2,5.0
1041,Caroline Mata,02900000000005,3,2.0
1041,Caroline Mata,02900000000005,4,8.0
1041,Caroline Mata,02900000000005,5,7.0
1041,Caroline Mata,02900000000005,6,5.0
1041,Caroline Mata,02900000000005,7,6.0
1042,Dr. Tiffany Flowers,02900000000006,1,8.0
1042,Dr. Tiffany Flowers,02900000000006,2,3.0
1042,Dr. Tiffany Flowers,02900000000006,3,5.0
1042,Dr. Tiffany Flowers,02900000000006,4,6.0
1042,Dr. Tiffany Flowers,02900000000006,5,6.0
1042,Dr. Tiffany Flowers,02900000000006,6,8.0
1042,Dr. Tiffany Flowers,02900000000006,7,5.0
1043,Linda Thomas,02900000000007,1,5.0
1043,Linda Thomas,02900000000007,2,2.0
1043,Linda Thomas,02900000000007,3,5.0
1043,Linda Thomas,02900000000007,4,5.0
1043,Linda Thomas,02900000000007,5,7.0
1043,Linda Thomas,02900000000007,6,6.0
1043,Linda Thomas,02900000000007,7,2.0
1044,Heather Spencer,02900000000008,1,4.0
1044,Heather Spencer,02900000000008,2,6.0
1044,Heather Spencer,02900000000008,3,8.0
1044,Heather Spencer,02900000000008,4,6.0
1044,Heather Spencer,02900000000008,5,5.0
1044,Heather Spencer,02900000000008,6,5.0
1044,Heather Spencer,02900000000008,7,4.0
1045,John Mendez,02900000000009,1,8.0
1045,John Mendez,02900000000009,2,9.0
1045,John Mendez,02900000000009,3,4.0
1045,John Mendez,02900000000009,4,5.0
1045,John Mendez,02900000000009,5,6.0
1045,John Mendez,02900000000009,6,5.0
1045,John Mendez,02900000000009,7,6.0
1046,John Valentine,02900000000010,1,5.0
1046,John Valentine,02900000000010,2,7.0
1046,John Valentine,02900000000010,3,2.0
1046,John Valentine,02900000000010,4,4.0
1046,John Valentine,02900000000010,5,4.0
1046,John Valentine,02900000000010,6,4.0
1046,John Valentine,02900000000010,7,5.0
1047,Thomas Welch,02900000000011,1,2.0
1047,Thomas Welch,02900000000011,2,7.0
1047,Thomas Welch,02900000000011,3,6.0
1047,Thomas Welch,02900000000011,4,4.0
1047,Thomas Welch,02900000000011,5,5.0
1047,Thomas Welch,02900000000011,6,7.0
1047,Thomas Welch,02900000000011,7,5.0
1048,Michelle Sanchez,02900000000012,1,6.0
1048,Michelle Sanchez,02900000000012,2,4.0
1048,Michelle Sanchez,02900000000012,3,1.0
1048,Michelle Sanchez,02900000000012,4,2.0
1048,Michelle Sanchez,02900000000012,5,6.0
1048,Michelle Sanchez,02900000000012,6,5.0
1048,Michelle Sanchez,02900000000012,7,4.0
1049,Tanya Ford,02900000000013,1,3.0
1049,Tanya Ford,02900000000013,2,7.0
1049,Tanya Ford,02900000000013,3,7.0
1049,Tanya Ford,02900000000013,4,6.0
1049,Tanya Ford,02900000000013,5,5.0
1049,Tanya Ford,02900000000013,6,8.0
1049,Tanya Ford,02900000000013,7,4.0
1050,Jennifer Walker DVM,02900000000014,1,5.0
1050,Jennifer Walker DVM,02900000000014,2,5.0
1050,Jennifer Walker DVM,02900000000014,3,4.0
1050,Jennifer Walker DVM,02900000000014,4,6.0
1050,Jennifer Walker DVM,02900000000014,5,6.0
1050,Jennifer Walker DVM,02900000000014,6,4.0
1050,Jennifer Walker DVM,02900000000014,7,5.0
1051,Dawn Clarke,02900000000015,1,3.0
1051,Dawn Clarke,02900000000015,2,4.0
1051,Dawn Clarke,02900000000015,3,6.0
1051,Dawn Clarke,02900000000015,4,4.0
1051,Dawn Clarke,02900000000015,5,4.0
1051,Dawn Clarke,02900000000015,6,5.0
1051,Dawn Clarke,02900000000015,7,4.0
1052,Molly Robinson,02900000000016,1,7.0
1052,Molly Robinson,02900000000016,2,7.0
1052,Molly Robinson,02900000000016,3,6.0
1052,Molly Robinson,02900000000016,4,6.0
1052,Molly Robinson,02900000000016,5,7.0
1052,Molly Robinson,02900000000016,6,5.0
1052,Molly Robinson,02900000000016,7,6.0
1053,Sarah Strickland,02900000000017,1,4.0
1053,Sarah Strickland,02900000000017,2,6.0
1053,Sarah Strickland,02900000000017,3,2.0
1053,Sarah Strickland,02900000000017,4,6.0
1053,Sarah Strickland,02900000000017,5,8.0
1053,Sarah Strickland,02900000000017,6,2.0
1053,Sarah Strickland,02900000000017,7,6.0
1054,Charles Cabrera,02900000000018,1,5.0
1054,Charles Cabrera,02900000000018,2,6.0
1054,Charles Cabrera,02900000000018,3,6.0
1054,Charles Cabrera,02900000000018,4,6.0
1054,Charles Cabrera,02900000000018,5,3.0
1054,Charles Cabrera,02900000000018,6,8.0
1054,Charles Cabrera,02900000000018,7,3.0
1055,Daniel Sosa,02900000000019,1,3.0
1055,Daniel Sosa,02900000000019,2,8.0
1055,Daniel Sosa,02900000000019,3,7.0
1055,Daniel Sosa,02900000000019,4,6.0
1055,Daniel Sosa,02900000000019,5,4.0
1055,Daniel Sosa,02900000000019,6,4.0
1055,Daniel Sosa,02900000000019,7,3.0
1056,Jennifer Jackson,02900000000020,1,9.0
1056,Jennifer Jackson,02900000000020,2,3.0
1056,Jennifer Jackson,02900000000020,3,7.0
1056,Jennifer Jackson,02900000000020,4,3.0
1056,Jennifer Jackson,02900000000020,5,5.0
1056,Jennifer Jackson,02900000000020,6,6.0
1056,Jennifer Jackson,02900000000020,7,5.0
1057,Kristen Carter,02900000000021,1,7.0
1057,Kristen Carter,02900000000021,2,4.0
1057,Kristen Carter,02900000000021,3,5.0
1057,Kristen Carter,02900000000021,4,4.0
1057,Kristen Carter,02900000000021,5,6.0
1057,Kristen Carter,02900000000021,6,3.0
1057,Kristen Carter,02900000000021,7,4.0
1058,Mark Smith,02900000000022,1,7.0
1058,Mark Smith,02900000000022,2,4.0
1058,Mark Smith,02900000000022,3,6.0
1058,Mark Smith,02900000000022,4,3.0
1058,Mark Smith,02900000000022,5,5.0
1058,Mark Smith,02900000000022,6,6.0
1058,Mark Smith,02900000000022,7,3.0
1059,Dennis Jackson,02900000000023,1,5.0
1059,Dennis Jackson,02900000000023,2,7.0
1059,Dennis Jackson,02900000000023,3,4.0
1059,Dennis Jackson,02900000000023,4,6.0
1059,Dennis Jackson,02900000000023,5,11.0
1059,Dennis Jackson,02900000000023,6,7.0
1059,Dennis Jackson,02900000000023,7,9.0
1060,Christine Butler,02900000000024,1,2.0
1060,Christine Butler,02900000000024,2,5.0
1060,Christine Butler,02900000000024,3,4.0
1060,Christine Butler,02900000000024,4,6.0
1060,Christine Butler,02900000000024,5,3.0
1060,Christine Butler,02900000000024,6,5.0
1060,Christine Butler,02900000000024,7,2.0
1061,Chelsea Anderson,02900000000025,1,8.0
1061,Chelsea Anderson,02900000000025,2,5.0
1061,Chelsea Anderson,02900000000025,3,5.0
1061,Chelsea Anderson,02900000000025,4,6.0
1061,Chelsea Anderson,02900000000025,5,4.0
1061,Chelsea Anderson,02900000000025,6,3.0
1061,Chelsea Anderson,02900000000025,7,7.0
1062,Jeremy Jenkins,02900000000026,1,6.0
1062,Jeremy Jenkins,02900000000026,2,3.0
1062,Jeremy Jenkins,02900000000026,3,6.0
1062,Jeremy Jenkins,02900000000026,4,5.0
1062,Jeremy Jenkins,02900000000026,5,7.0
1062,Jeremy Jenkins,02900000000026,6,4.0
1062,Jeremy Jenkins,02900000000026,7,6.0
1063,Beth Levy,02900000000027,1,6.0
1063,Beth Levy,02900000000027,2,2.0
1063,Beth Levy,02900000000027,3,4.0
1063,Beth Levy,02900000000027,4,1.0
1063,Beth Levy,02900000000027,5,7.0
1063,Beth Levy,02900000000027,6,7.0
1063,Beth Levy,02900000000027,7,4.0
1064,Mrs. Alexandra Munoz MD,02900000000028,1,2.0
1064,Mrs. Alexandra Munoz MD,02900000000028,2,4.0
1064,Mrs. Alexandra Munoz MD,02900000000028,3,6.0
1064,Mrs. Alexandra Munoz MD,02900000000028,4,5.0
1064,Mrs. Alexandra Munoz MD,02900000000028,5,6.0
1064,Mrs. Alexandra Munoz MD,02900000000028,6,5.0
1064,Mrs. Alexandra Munoz MD,02900000000028,7,6.0
1065,Maria York,02900000000029,1,3.0
1065,Maria York,02900000000029,2,8.0
1065,Maria York,02900000000029,3,4.0
1065,Maria York,02900000000029,4,4.0
1065,Maria York,02900000000029,5,6.0
1065,Maria York,02900000000029,6,3.0
1065,Maria York,02900000000029,7,7.0
1066,Kathy Carroll,02900000000030,1,2.0
1066,Kathy Carroll,02900000000030,2,8.0
1066,Kathy Carroll,02900000000030,3,6.0
1066,Kathy Carroll,02900000000030,4,8.0
1066,Kathy Carroll,02900000000030,5,7.0
1066,Kathy Carroll,02900000000030,6,8.0
1066,Kathy Carroll,02900000000030,7,5.0
1067,Nicholas Berry,02900000000031,1,8.0
1067,Nicholas Berry,02900000000031,2,8.0
1067,Nicholas Berry,02900000000031,3,4.0
1067,Nicholas Berry,02900000000031,4,5.0
1067,Nicholas Berry,02900000000031,5,7.0
1067,Nicholas Berry,02900000000031,6,9.0
1067,Nicholas Berry,02900000000031,7,7.0
1068,Mary Hess,02900000000032,1,4.0
1068,Mary Hess,02900000000032,2,6.0
1068,Mary Hess,02900000000032,3,9.0
1068,Mary Hess,02900000000032,4,6.0
1068,Mary Hess,02900000000032,5,5.0
1068,Mary Hess,02900000000032,6,3.0
1068,Mary Hess,02900000000032,7,4.0
1069,Rodney Hensley,02900000000033,1,3.0
1069,Rodney Hensley,02900000000033,2,4.0
1069,Rodney Hensley,02900000000033,3,8.0
1069,Rodney Hensley,02900000000033,4,5.0
1069,Rodney Hensley,02900000000033,5,5.0
1069,Rodney Hensley,02900000000033,6,6.0
1069,Rodney Hensley,02900000000033,7,5.0
1070,Daniel Simon,02900000000034,1,5.0
1070,Daniel Simon,02900000000034,2,4.0
1070,Daniel Simon,02900000000034,3,8.0
1070,Daniel Simon,02900000000034,4,5.0
1070,Daniel Simon,02900000000034,5,7.0
1070,Daniel Simon,02900000000034,6,6.0
1070,Daniel Simon,02900000000034,7,3.0
1071,Brian Smith,02900000000035,1,7.0
1071,Brian Smith,02900000000035,2,7.0
1071,Brian Smith,02900000000035,3,7.0
1071,Brian Smith,02900000000035,4,3.0
1071,Brian Smith,02900000000035,5,4.0
1071,Brian Smith,02900000000035,6,6.0
1071,Brian Smith,02900000000035,7,6.0
1072,Robin Cantu,02900000000036,1,6.0
1072,Robin Cantu,02900000000036,2,4.0
1072,Robin Cantu,02900000000036,3,6.0
1072,Robin Cantu,02900000000036,4,5.0
1072,Robin Cantu,02900000000036,5,2.0
1072,Robin Cantu,02900000000036,6,2.0
1072,Robin Cantu,02900000000036,7,2.0
1073,Jason Rivera,02900000000037,1,6.0
1073,Jason Rivera,02900000000037,2,7.0
1073,Jason Rivera,02900000000037,3,5.0
1073,Jason Rivera,02900000000037,4,10.0
1073,Jason Rivera,02900000000037,5,4.0
1073,Jason Rivera,02900000000037,6,6.0
1073,Jason Rivera,02900000000037,7,0.0
