id_siswa,nama,nrp,id_mapel,score,id_kota
1,Andrea Hernandez,00100000000001,1,8.0,1
1,Andrea Hernandez,00100000000001,2,7.0,1
1,Andrea Hernandez,00100000000001,3,5.0,1
1,Andrea Hernandez,00100000000001,4,4.0,1
1,Andrea Hernandez,00100000000001,5,5.0,1
1,Andrea Hernandez,00100000000001,6,1.0,1
1,Andrea Hernandez,00100000000001,7,3.0,1
2,Virginia Combs,00100000000002,1,7.0,1
2,Virginia Combs,00100000000002,2,6.0,1
2,Virginia Combs,00100000000002,3,6.0,1
2,Virginia Combs,00100000000002,4,4.0,1
2,Virginia Combs,00100000000002,5,7.0,1
2,Virginia Combs,00100000000002,6,1.0,1
2,Virginia Combs,00100000000002,7,3.0,1
3,Rachel Wright,00100000000003,1,8.0,1
3,Rachel Wright,00100000000003,2,4.0,1
3,Rachel Wright,00100000000003,3,2.0,1
3,Rachel Wright,00100000000003,4,4.0,1
3,Rachel Wright,00100000000003,5,6.0,1
3,Rachel Wright,00100000000003,6,7.0,1
3,Rachel Wright,00100000000003,7,4.0,1
4,David Arnold,00100000000004,1,6.0,1
4,David Arnold,00100000000004,2,4.0,1
4,David Arnold,00100000000004,3,6.0,1
4,David Arnold,00100000000004,4,5.0,1
4,David Arnold,00100000000004,5,6.0,1
4,David Arnold,00100000000004,6,5.0,1
4,David Arnold,00100000000004,7,2.0,1
5,Terry Peters,00100000000005,1,2.0,1
5,Terry Peters,00100000000005,2,5.0,1
5,Terry Peters,00100000000005,3,3.0,1
5,Terry Peters,00100000000005,4,3.0,1
5,Terry Peters,00100000000005,5,3.0,1
5,Terry Peters,00100000000005,6,5.0,1
5,Terry Peters,00100000000005,7,5.0,1
6,Edward Ward,00100000000006,1,5.0,1
6,Edward Ward,00100000000006,2,4.0,1
6,Edward Ward,00100000000006,3,8.0,1
6,Edward Ward,00100000000006,4,5.0,1
6,Edward Ward,00100000000006,5,4.0,1
6,Edward Ward,00100000000006,6,3.0,1
6,Edward Ward,00100000000006,7,0.0,1
7,Jeffrey Garza,00100000000007,1,3.0,1
7,Jeffrey Garza,00100000000007,2,5.0,1
7,Jeffrey Garza,00100000000007,3,5.0,1
7,Jeffrey Garza,00100000000007,4,9.0,1
7,Jeffrey Garza,00100000000007,5,5.0,1
7,Jeffrey Garza,00100000000007,6,6.0,1
7,Jeffrey Garza,00100000000007,7,1.0,1
8,Nicholas Young,00100000000008,1,4.0,1
8,Nicholas Young,00100000000008,2,6.0,1
8,Nicholas Young,00100000000008,3,4.0,1
8,Nicholas Young,00100000000008,4,9.0,1
8,Nicholas Young,00100000000008,5,2.0,1
8,Nicholas Young,00100000000008,6,6.0,1
8,Nicholas Young,00100000000008,7,4.0,1
9,Patricia Smith,00100000000009,1,9.0,1
9,Patricia Smith,00100000000009,2,7.0,1
9,Patricia Smith,00100000000009,3,2.0,1
9,Patricia Smith,00100000000009,4,2.0,1
9,Patricia Smith,00100000000009,5,7.0,1
9,Patricia Smith,00100000000009,6,4.0,1
9,Patricia Smith,00100000000009,7,7.0,1
10,Michael Ellis,00100000000010,1,7.0,1
10,Michael Ellis,00100000000010,2,4.0,1
10,Michael Ellis,00100000000010,3,4.0,1
10,Michael Ellis,00100000000010,4,4.0,1
10,Michael Ellis,00100000000010,5,8.0,1
10,Michael Ellis,00100000000010,6,5.0,1
10,Michael Ellis,00100000000010,7,2.0,1
11,Kristopher Taylor,00100000000011,1,4.0,1
11,Kristopher Taylor,00100000000011,2,5.0,1
11,Kristopher Taylor,00100000000011,3,5.0,1
11,Kristopher Taylor,00100000000011,4,4.0,1
11,Kristopher Taylor,00100000000011,5,7.0,1
11,Kristopher Taylor,00100000000011,6,3.0,1
11,Kristopher Taylor,00100000000011,7,4.0,1
12,Phillip Russo,00100000000012,1,6.0,1
12,Phillip Russo,00100000000012,2,2.0,1
12,Phillip Russo,00100000000012,3,6.0,1
12,Phillip Russo,00100000000012,4,2.0,1
12,Phillip Russo,00100000000012,5,5.0,1
12,Phillip Russo,00100000000012,6,5.0,1
12,Phillip Russo,00100000000012,7,3.0,1
13,Ashley Morris,00100000000013,1,7.0,1
13,Ashley Morris,00100000000013,2,4.0,1
13,Ashley Morris,00100000000013,3,6.0,1
13,Ashley Morris,00100000000013,4,7.0,1
13,Ashley Morris,00100000000013,5,2.0,1
13,Ashley Morris,00100000000013,6,4.0,1
13,Ashley Morris,00100000000013,7,8.0,1
14,Charles Villarreal,00100000000014,1,6.0,1
14,Charles Villarreal,00100000000014,2,4.0,1
14,Charles Villarreal,00100000000014,3,6.0,1
14,Charles Villarreal,00100000000014,4,5.0,1
14,Charles Villarreal,00100000000014,5,6.0,1
14,Charles Villarreal,00100000000014,6,4.0,1
14,Charles Villarreal,00100000000014,7,7.0,1
15,Michelle Vaughan,00100000000015,1,2.0,1
15,Michelle Vaughan,00100000000015,2,5.0,1
15,Michelle Vaughan,00100000000015,3,7.0,1
15,Michelle Vaughan,00100000000015,4,6.0,1
15,Michelle Vaughan,00100000000015,5,6.0,1
15,Michelle Vaughan,00100000000015,6,3.0,1
15,Michelle Vaughan,00100000000015,7,5.0,1
16,Gina Lin,00100000000016,1,5.0,1
16,Gina Lin,00100000000016,2,4.0,1
16,Gina Lin,00100000000016,3,6.0,1
16,Gina Lin,00100000000016,4,1.0,1
16,Gina Lin,00100000000016,5,3.0,1
16,Gina Lin,00100000000016,6,4.0,1
16,Gina Lin,00100000000016,7,6.0,1
17,Michael Williams,00100000000017,1,6.0,1
17,Michael Williams,00100000000017,2,4.0,1
17,Michael Williams,00100000000017,3,4.0,1
17,Michael Williams,00100000000017,4,6.0,1
17,Michael Williams,00100000000017,5,4.0,1
17,Michael Williams,00100000000017,6,7.0,1
17,Michael Williams,00100000000017,7,5.0,1
18,Kimberly Lewis,00100000000018,1,4.0,1
18,Kimberly Lewis,00100000000018,2,6.0,1
18,Kimberly Lewis,00100000000018,3,5.0,1
18,Kimberly Lewis,00100000000018,4,9.0,1
18,Kimberly Lewis,00100000000018,5,8.0,1
18,Kimberly Lewis,00100000000018,6,9.0,1
18,Kimberly Lewis,00100000000018,7,4.0,1
19,Tina Rogers,00100000000019,1,6.0,1
19,Tina Rogers,00100000000019,2,4.0,1
19,Tina Rogers,00100000000019,3,3.0,1
19,Tina Rogers,00100000000019,4,3.0,1
19,Tina Rogers,00100000000019,5,6.0,1
19,Tina Rogers,00100000000019,6,7.0,1
19,Tina Rogers,00100000000019,7,2.0,1
20,Tammy Zhang,00100000000020,1,3.0,1
20,Tammy Zhang,00100000000020,2,4.0,1
20,Tammy Zhang,00100000000020,3,7.0,1
20,Tammy Zhang,00100000000020,4,3.0,1
20,Tammy Zhang,00100000000020,5,5.0,1
20,Tammy Zhang,00100000000020,6,6.0,1
20,Tammy Zhang,00100000000020,7,8.0,1
21,Wanda Wright,00100000000021,1,4.0,1
21,Wanda Wright,00100000000021,2,8.0,1
21,Wanda Wright,00100000000021,3,6.0,1
21,Wanda Wright,00100000000021,4,7.0,1
21,Wanda Wright,00100000000021,5,4.0,1
21,Wanda Wright,00100000000021,6,4.0,1
21,Wanda Wright,00100000000021,7,5.0,1
22,Kevin Smith,00100000000022,1,3.0,1
22,Kevin Smith,00100000000022,2,3.0,1
22,Kevin Smith,00100000000022,3,6.0,1
22,Kevin Smith,00100000000022,4,8.0,1
22,Kevin Smith,00100000000022,5,4.0,1
22,Kevin Smith,00100000000022,6,4.0,1
22,Kevin Smith,00100000000022,7,6.0,1
